Feature ID	WT_01	WT_02	Mu_01	Mu_02
AT1G21660	18.28155857	19.51621242	17.8456768	19.82689175
AT1G11310	112.851717	95.00132243	129.911322	119.8702723
AT1G06220	16.89711652	20.46654209	14.8955231	14.39835632
AT1G01010	3.945475925	2.69211247	2.164074228	1.629574217
AT1G01020	6.917092167	6.802670753	6.210974954	5.11488605
AT1G01030	0.1216572	0.450234297	0.140309479	0.187525737
AT1G01040	8.653877615	6.655075669	7.241882108	6.774584653
AT1G01046	0	0	0	0
AT1G01050	60.21381934	51.35509229	41.68792063	39.64007804
AT1G01060	0.90898397	0.68396837	0.192849609	0.254064322
AT1G01070	1.707682913	0.653779421	1.065061841	0.96084308
AT1G01073	0	0	0	0
AT1G01080	62.16969671	78.09345966	55.84819649	63.854003
AT1G01090	74.00359133	99.53232151	79.62282682	86.64138574
AT1G01100	133.151123	202.3518911	118.7078811	103.803781
AT1G01110	0.64580121	0.65847198	1.107088032	0.945682872
AT1G01115	0	0	0	0
AT1G01120	13.86135457	17.17088365	33.68683567	42.55234492
AT1G01130	1.301091743	1.003153609	1.108756686	2.667366088
AT1G01140	64.74732143	52.75812258	41.8254311	26.3270975
AT1G01150	0.010354614	0.012773603	0	0.030325682
AT1G01160	20.68404076	15.08666064	19.00518607	16.69387793
AT1G01170	117.1693117	80.55420874	104.7244526	102.1765841
AT1G01180	9.137929096	5.962622217	10.22791677	8.110727332
AT1G01183	0	0	0	0
AT1G01190	0.212398372	0.46788881	0.258571988	0.266594425
AT1G01200	0.335375608	1.348434586	0.695594008	0.618433911
AT1G01210	9.999766594	10.2350981	7.521134756	9.336863843
AT1G01220	10.8336056	10.80832689	11.90644314	11.79325576
AT1G01225	1.535129587	2.657133706	2.607703007	2.96244927
AT1G01230	45.58023847	31.32443601	40.83590473	36.53945754
AT1G01240	35.13525858	16.30318423	38.03777216	30.51510387
AT1G01250	5.968177528	4.764979643	3.712354976	4.337872146
AT1G01260	6.364433851	5.371616454	7.413561738	7.5094766
AT1G01270	0	0	0	0
AT1G01280	0	0	0	0
AT1G01290	11.81003202	9.663631343	10.3594975	9.404026005
AT1G01300	40.95814671	58.95041543	32.17645981	31.74346551
AT1G01305	0	0	0	0
AT1G01310	0.037454663	0	0	0
AT1G01320	58.89786448	69.8255309	50.41816529	53.71770222
AT1G01340	6.582446393	5.217585931	4.381603979	3.086185404
AT1G01350	12.52881647	10.404136	12.07045704	9.926072146
AT1G01355	0.763468135	0.043805834	0.172919009	0.155998485
AT1G01360	21.16307039	11.11995776	13.98815355	14.03939562
AT1G01370	0.823838963	1.66855187	1.646609062	1.476481625
AT1G01380	0.472447486	0.476851187	0.522866898	0.754725063
AT1G01390	1.981137768	1.221980241	1.232317004	1.291726634
AT1G01400	0	0	0	0
AT1G01410	0	0	0	0
AT1G01420	7.14209489	5.434848664	5.294990518	5.264538332
AT1G01430	28.4514771	30.01213218	44.87382555	46.90633118
AT1G01440	9.330910366	7.899665295	11.72709703	11.09829831
AT1G01448	0	0	0	0
AT1G01450	0.034530036	0.053245945	0.063054862	0.075846397
AT1G01453	0	0	0.047366571	0
AT1G01460	0	0.010363157	0	0
AT1G01470	407.525155	295.5232578	277.3389593	317.9749083
AT1G01471	0	0	0	0
AT1G01480	0.571193033	0.151533778	0.029908197	0.071950963
AT1G01490	39.32934106	23.26663636	32.39411123	25.23288844
AT1G01500	25.1552196	20.71192924	20.06348726	20.00133342
AT1G01510	11.94868621	12.3939512	12.47213458	12.91356179
AT1G01520	0.155295238	0.226406196	0.068747314	0.041346821
AT1G01530	0.291967063	0.220106842	0	0.047504858
AT1G01540	21.89950328	21.07681715	34.40227597	34.69989821
AT1G01550	145.02708	91.83777989	110.5657898	100.6632505
AT1G01560	6.762253139	4.602187171	4.984542119	3.405237096
AT1G01570	0.670578338	0.691107914	0.744021039	0.969535467
AT1G01580	0.212662878	0.087448011	0.234237425	0.192780195
AT1G01590	0.219155524	0.078260211	0.056168019	0.08445308
AT1G01600	0.118424613	0.257397251	0.082382357	0.082578948
AT1G01610	28.27298296	26.6003259	26.6105445	31.46992058
AT1G01620	38.89660021	54.09206731	167.1354433	184.7087653
AT1G01630	56.14202761	46.88054522	48.2637006	43.32569383
AT1G01640	3.644594892	1.150498103	2.629273544	1.796964435
AT1G01650	26.52732659	24.80093956	29.08345844	23.34910831
AT1G01660	0.978962922	0.661129356	1.531047395	0.774326397
AT1G01670	2.826831591	1.72761394	3.220356124	2.784976489
AT1G01680	9.555945834	2.089470211	4.55484797	0.777405919
AT1G01690	2.306900254	1.582990624	2.158958213	2.026873927
AT1G01695	0.215474583	0.265812592	0.524633883	0.301812736
AT1G01700	2.518188109	1.403589412	2.15917491	2.009149207
AT1G01710	17.6602842	17.05200115	15.96968112	14.29232825
AT1G01720	5.802266085	4.562214552	4.69404155	3.556077917
AT1G01725	17.85231427	9.367195951	10.03073397	9.305499007
AT1G01730	28.96626982	18.04022946	23.46534706	19.90317808
AT1G01740	5.874857009	5.06331087	3.008590999	2.857045705
AT1G01750	0.888261593	0.508751505	0.733781478	0.557456223
AT1G01760	1.48752867	1.399215781	1.516632825	1.443104884
AT1G01770	8.582826302	7.12867626	8.31114865	9.135091614
AT1G01780	10.50901777	7.082969571	8.855884074	8.065404078
AT1G01790	45.73210444	54.56774166	44.37275269	46.38934792
AT1G01800	53.90110261	52.44629592	48.47023764	43.85745373
AT1G01810	0.343598172	0.423867722	0.325339403	0.167716681
AT1G01820	81.47342142	62.2137107	65.43379877	57.50553679
AT1G01830	11.83499515	7.446088644	8.054721026	6.232516774
AT1G01840	0.786471971	0.823757526	0.939379361	1.303782955
AT1G01860	12.74889201	11.13500506	10.51558921	10.45247624
AT1G01870	0	0	0	0
AT1G01880	0.323887755	0.399552665	0.386858635	0.501133408
AT1G01890	0	0	0	0
AT1G01900	0.664429473	2.275445991	1.364214999	1.858791699
AT1G01910	25.66373622	27.90423617	26.88335346	27.07131867
AT1G01920	6.851040317	8.026259862	5.112595753	4.644442035
AT1G01930	6.010389728	5.299300706	6.046737269	5.611419225
AT1G01940	16.20840342	15.76286887	8.473853749	8.251387234
AT1G01950	4.822453148	3.887302245	5.118145382	4.754586906
AT1G01960	21.23227228	19.7216896	21.8836401	21.68773545
AT1G01970	16.45103872	20.31249182	16.82153813	16.59449252
AT1G01980	0	0	0	0
AT1G01990	17.08305246	16.18608821	18.94058661	17.37579039
AT1G02000	3.91752076	4.342680699	5.552899301	5.295364617
AT1G02010	3.902283544	3.033927988	4.249590086	3.848279689
AT1G02020	7.507907241	7.262436543	8.529028148	8.544277049
AT1G02030	0.031469905	0.007764347	0.030648957	0.036866515
AT1G02040	0	0	0	0
AT1G02050	3.216780749	2.764024616	2.512630502	2.804524585
AT1G02060	1.882608632	1.513715942	1.718903912	1.936330294
AT1G02065	0	0	0	0
AT1G02070	0.161559405	0.024912755	0.147510794	0.177435362
AT1G02074	0	0	0	0.243018047
AT1G02080	16.75697311	14.40094227	15.94065404	14.84472177
AT1G02090	14.00644084	14.22192458	11.65397511	11.52028592
AT1G02100	25.25398673	15.22556488	20.67535956	18.64600423
AT1G02110	7.453585748	6.892887806	9.022594807	9.278269418
